country_code,country,year,life_expectancy,health_expenditure_gdp
ALB,Albania,2007,72,2.4964547619474
ALB,Albania,2008,71,2.47189450228981
ALB,Albania,2010,76.63,2.63446478144812
ALB,Albania,2011,76.75,2.70575952984581
ALB,Albania,2011,76.75,0.0066298941643897
ALB,Albania,2011,76.75,2.22446750282219
ALB,Albania,2011,76.75,1.08085420014921
ALB,Albania,2011,76.75,2.22446750282219
ALB,Albania,2011,76.75,2.70468619895709
ALB,Albania,2012,76.9,0.0066303474919227
ALB,Albania,2012,76.9,2.80714972346721
ALB,Albania,2012,76.9,2.32726847613142
ALB,Albania,2012,76.9,2.32726847613142
ALB,Albania,2012,76.9,2.80720824639404
ALB,Albania,2012,76.9,1.15891526436984
ALB,Albania,2013,77.04,2.79813534631179
ALB,Albania,2013,77.04,0.0032687614412406
ALB,Albania,2013,77.04,2.79893457440948
ALB,Albania,2013,77.04,2.2838828042118
ALB,Albania,2013,77.04,2.2838828042118
ALB,Albania,2013,77.04,1.20808919340142
ALB,Albania,2014,77.35,2.18013108721642
ALB,Albania,2014,77.35,2.18013108721642
ALB,Albania,2014,77.35,2.74492459757695
ALB,Albania,2014,77.35,2.74411760534329
ALB,Albania,2014,77.35,1.18401671182013
ALB,Albania,2014,77.35,8.206093317414e-4
ALB,Albania,2015,77.54,0.003173659164386
ALB,Albania,2015,77.54,2.74041494798765
ALB,Albania,2015,77.54,2.2279868199162
ALB,Albania,2015,77.54,2.2279868199162
ALB,Albania,2015,77.54,2.73723919722013
ALB,Albania,2015,77.54,1.20268853830971
ALB,Albania,2016,77.83,2.839594745224
ALB,Albania,2016,77.83,2.17098560846835
ALB,Albania,2016,77.83,2.17098560846835
ALB,Albania,2016,77.83,1.31986250969819
ALB,Albania,2016,77.83,0.0037854526332064
ALB,Albania,2016,77.83,2.83834311458119
ALB,Albania,2017,78.01,2.92470139596318
ALB,Albania,2017,78.01,2.07104398872655
ALB,Albania,2017,78.01,2.07104398872655
ALB,Albania,2017,78.01,0.0034237355143227
ALB,Albania,2017,78.01,1.46173127851248
ALB,Albania,2017,78.01,2.92366376355735
DZA,Algeria,2007,71,1.39122827845362
DZA,Algeria,2008,71,1.62083308337307
DZA,Algeria,2009,71,2.30831438402948
AGO,Angola,2010,47.04,1.52036224419104
AGO,Angola,2011,47.55,1.68269668274444
AGO,Angola,2013,51.06,2.40626687751595
AGO,Angola,2014,51.46,1.92814549514045
ARG,Argentina,2014,76.01,0.232721093487551
ARG,Argentina,2014,76.01,1.03338080149907
ARG,Argentina,2014,76.01,1.63846001225015
ARG,Argentina,2014,76.01,0.634342689873996
ARG,Argentina,2014,76.01,1.67687378820329
ARG,Argentina,2015,76.19,0.260688705079035
ARG,Argentina,2015,76.19,1.0562085964105
ARG,Argentina,2015,76.19,1.74471553928972
ARG,Argentina,2015,76.19,0.688506942879221
ARG,Argentina,2015,76.19,1.81271671397898
ARG,Argentina,2016,76.16,1.94270175521815
ARG,Argentina,2016,76.16,0.263631251535466
ARG,Argentina,2016,76.16,1.31824862341178
ARG,Argentina,2016,76.16,0.64640214712414
ARG,Argentina,2016,76.16,1.98270705628211
ARG,Argentina,2017,76.33,1.87229797296741
ARG,Argentina,2017,76.33,0.296649364262336
ARG,Argentina,2017,76.33,0.601236097344715
ARG,Argentina,2017,76.33,1.28133745276036
ARG,Argentina,2017,76.33,1.87229703490121
ARM,Armenia,2010,73.54,1.62218242301239
ARM,Armenia,2010,73.54,0.0103519946967269
ARM,Armenia,2011,73.73,0.0047380248143329
ARM,Armenia,2011,73.73,1.6758420237708
ARM,Armenia,2012,73.78,1.5117660177564
ARM,Armenia,2012,73.78,0.007078467033739
ARM,Armenia,2013,73.92,0.0037618197160608
ARM,Armenia,2013,73.92,1.42578273401957
ARM,Armenia,2013,73.92,1.42954455373563
ARM,Armenia,2013,73.92,1.41265108541763
ARM,Armenia,2013,73.92,0.075514993706041
ARM,Armenia,2013,73.92,1.42578273401957
ARM,Armenia,2014,74.44,1.58731297884866
ARM,Armenia,2015,74.54,1.70669495196439
ARM,Armenia,2016,74.68,2.10064543370144
ARM,Armenia,2017,74.8,0.0050934943995709
ARM,Armenia,2017,74.8,1.52294501992841
ARM,Armenia,2017,74.8,1.51785152552884
ARM,Armenia,2017,74.8,1.49547187144605
ARM,Armenia,2017,74.8,0.161517142773808
ARM,Armenia,2017,74.8,1.51785152552884
AUS,Australia,2007,81,3.52150302606398
AUS,Australia,2007,81,3.52150302606398
AUS,Australia,2007,81,0.02605249887621
AUS,Australia,2007,81,5.91471206689928
AUS,Australia,2007,81,3.34081349148525
AUS,Australia,2007,81,3.52150302606398
AUS,Australia,2008,82,3.5885936329967
AUS,Australia,2008,82,3.5885936329967
AUS,Australia,2008,82,0.0252575337475461
AUS,Australia,2008,82,3.5885936329967
AUS,Australia,2008,82,3.37228552346643
AUS,Australia,2008,82,5.96409706340693
AUS,Australia,2009,82,3.89326261574431
