country_code,country,year,life_expectancy
ALB,Albania,2007,72
ALB,Albania,2008,71
ALB,Albania,2009,72
ALB,Albania,2010,76.63
ALB,Albania,2011,76.75
ALB,Albania,2012,76.9
ALB,Albania,2013,77.04
ALB,Albania,2014,77.35
ALB,Albania,2015,77.54
ALB,Albania,2016,77.83
ALB,Albania,2017,78.01
DZA,Algeria,2007,71
DZA,Algeria,2008,71
DZA,Algeria,2009,71
DZA,Algeria,2010,72.39
DZA,Algeria,2011,72.62
DZA,Algeria,2012,72.85
DZA,Algeria,2013,73.08
DZA,Algeria,2014,70.88
DZA,Algeria,2015,71.01
DZA,Algeria,2016,74.81
DZA,Algeria,2017,75.04
AGO,Angola,2010,47.04
AGO,Angola,2011,47.55
AGO,Angola,2013,51.06
AGO,Angola,2014,51.46
ARG,Argentina,2007,75
ARG,Argentina,2008,75
ARG,Argentina,2009,75
ARG,Argentina,2010,75.33
ARG,Argentina,2011,75.52
ARG,Argentina,2012,75.63
ARG,Argentina,2013,75.8
ARG,Argentina,2014,76.01
ARG,Argentina,2015,76.19
ARG,Argentina,2016,76.16
ARG,Argentina,2017,76.33
ARM,Armenia,2007,68
ARM,Armenia,2008,69
ARM,Armenia,2009,69
ARM,Armenia,2010,73.54
ARM,Armenia,2011,73.73
ARM,Armenia,2012,73.78
ARM,Armenia,2013,73.92
ARM,Armenia,2014,74.44
ARM,Armenia,2015,74.54
ARM,Armenia,2016,74.68
ARM,Armenia,2017,74.8
AUS,Australia,2007,81
AUS,Australia,2008,82
AUS,Australia,2009,82
AUS,Australia,2010,81.4
AUS,Australia,2011,81.54
AUS,Australia,2012,81.7
AUS,Australia,2013,81.85
AUS,Australia,2014,82.1
AUS,Australia,2015,82.2
AUS,Australia,2016,82.25
AUS,Australia,2017,82.45
AUT,Austria,2007,79
AUT,Austria,2008,80
AUT,Austria,2009,80
AUT,Austria,2010,80.45
AUT,Austria,2011,80.08
AUT,Austria,2012,80.38
AUT,Austria,2013,81.03
AUT,Austria,2014,80.94
AUT,Austria,2015,80.89
AUT,Austria,2016,81.34
AUT,Austria,2017,81.84
AZE,Azerbaijan,2007,65
AZE,Azerbaijan,2008,64
AZE,Azerbaijan,2009,68
AZE,Azerbaijan,2010,70.18
