country_code,country,year,health_expenditure_gdp,life_expectancy,gdp_per_capita,log_gdp_per_capita,region
ALB,Albania,2007,2.4964547619474,72,3743.055299,8.227657481773388,Europe & Central Asia
ALB,Albania,2008,2.47189450228981,71,4498.504868,8.411500368995078,Europe & Central Asia
ALB,Albania,2010,2.63446478144812,76.63,4149.144699,8.33065749535741,Europe & Central Asia
ALB,Albania,2011,2.70575952984581,76.75,4465.709143,8.404183303320004,Europe & Central Asia
ALB,Albania,2012,2.80720824639404,76.9,4280.933163,8.361926293549349,Europe & Central Asia
ALB,Albania,2013,2.79893457440948,77.04,4542.929036,8.421327245122324,Europe & Central Asia
ALB,Albania,2014,2.74492459757695,77.35,4793.597511,8.475036454648732,Europe & Central Asia
ALB,Albania,2015,2.74041494798765,77.54,4199.539129,8.342730067060076,Europe & Central Asia
ALB,Albania,2016,2.839594745224,77.83,4457.634122,8.402373438348006,Europe & Central Asia
ALB,Albania,2017,2.92470139596318,78.01,5006.36013,8.518464409076579,Europe & Central Asia
ARM,Armenia,2013,1.42954455373563,73.92,3680.166922,8.210713389373408,Europe & Central Asia
ARM,Armenia,2017,1.52294501992841,74.8,3869.053739,8.260765244239618,Europe & Central Asia
AUS,Australia,2007,5.91471206689928,81,41128.247662,10.624450455454229,East Asia & Pacific
AUS,Australia,2008,5.96409706340693,82,49811.206722,10.815995272274575,East Asia & Pacific
AUS,Australia,2009,6.42348798061908,82,42954.849488,10.667904831120028,East Asia & Pacific
AUS,Australia,2010,6.41848062706421,81.4,52313.893904,10.86501727259249,East Asia & Pacific
AUS,Australia,2011,6.45689622869679,81.54,62799.389502,11.047700631103304,East Asia & Pacific
AUS,Australia,2012,6.85301550237693,81.7,68301.440251000007,11.13168613246686,East Asia & Pacific
AUS,Australia,2013,6.69969933977156,81.85,68476.67885,11.134248511537916,East Asia & Pacific
AUS,Australia,2014,6.71301403311329,82.1,62817.206175,11.04798429860796,East Asia & Pacific
AUS,Australia,2015,6.81043048580713,82.2,56970.361303,10.950286434441342,East Asia & Pacific
AUS,Australia,2016,6.96535543865743,82.25,50084.444061,10.821465741074109,East Asia & Pacific
AUS,Australia,2017,7.1408116465801,82.45,54117.547719,10.898913769340147,East Asia & Pacific
AUT,Austria,2007,7.36070399819704,79,46622.962291,10.749848451776582,Europe & Central Asia
AUT,Austria,2008,7.51263182870209,80,51581.398236,10.850916387171834,Europe & Central Asia
