country_code,year,gdp_per_capita,log_gdp_per_capita,region
ZMB,2015,1295.877887,7.166943649479128,Sub-Saharan Africa
ZWE,2015,1387.126326,7.234989494754307,Sub-Saharan Africa
UZB,2012,2573.955868,7.853199242709945,Europe & Central Asia
VUT,2012,3004.784167,8.007961019764172,East Asia & Pacific
VEN,2012,12582.012569,9.440023499096254,Latin America & Caribbean
VNM,2012,2185.117677,7.68942496283004,East Asia & Pacific
VIR,2012,37795.319259,10.539940544813236,Latin America & Caribbean
PSE,2012,3067.438727,8.02859820148744,Middle East & North Africa
YEM,2012,1245.050683,7.126931517307157,Middle East & North Africa
ZMB,2012,1710.050613,7.4442782473043,Sub-Saharan Africa
ZWE,2012,1239.227097,7.1222431553903816,Sub-Saharan Africa
AFG,2013,637.087099,6.456906379349061,South Asia
ALB,2013,4542.929036,8.421327245122324,Europe & Central Asia
DZA,2013,5979.60139,8.696109187532352,Middle East & North Africa
ASM,2013,11813.502203,9.376998410785081,East Asia & Pacific
AND,2013,42470.316116,10.656560666557224,Europe & Central Asia
AGO,2013,5688.579162,8.646215788029554,Sub-Saharan Africa
ATG,2013,15051.511359,9.619233687659934,Latin America & Caribbean
ARG,2013,12963.675773,9.46990655415233,Latin America & Caribbean
ARM,2013,3680.166922,8.210713389373408,Europe & Central Asia
GUY,2016,5870.878238,8.677759516281753,Latin America & Caribbean
HTI,2016,1318.402682,7.184176193437119,Latin America & Caribbean
HND,2016,2307.344684,7.74385265490254,Latin America & Caribbean
HKG,2016,43734.19807,10.685885639570607,East Asia & Pacific
HUN,2016,13215.860528,9.489172942436308,Europe & Central Asia
ISL,2016,62854.090641,11.048571297676062,Europe & Central Asia
IND,2016,1707.508929,7.442790820713849,South Asia
IDN,2016,3521.469435,8.166633634607829,East Asia & Pacific
IRN,2016,5710.599471,8.650079283304018,Middle East & North Africa
IRQ,2016,4334.420964,8.374343307974726,Middle East & North Africa
IRL,2016,64129.557154,11.068660646676996,Europe & Central Asia
CPV,2011,4002.013869,8.294552980654915,Sub-Saharan Africa
KHM,2011,1088.981528,6.992998160438318,East Asia & Pacific
CMR,2011,1513.96057,7.322484390065123,Sub-Saharan Africa
CAN,2011,52224.123777,10.863299808438157,North America
CYM,2011,75280.960765,11.228982536730955,Latin America & Caribbean
CAF,2011,534.057281,6.280503100997679,Sub-Saharan Africa
TCD,2011,1308.142187,7.176363231766604,Sub-Saharan Africa
CHL,2011,14487.392783,9.581034086964884,Latin America & Caribbean
CHN,2011,5703.76028,8.64888093456302,East Asia & Pacific
COL,2011,7400.99407,8.90936960395407,Latin America & Caribbean
COM,2011,1531.439693,7.333963547763259,Sub-Saharan Africa
COL,2014,8187.208249,9.010328245598688,Latin America & Caribbean
COM,2014,1615.717098,7.387534160636893,Sub-Saharan Africa
COD,2014,489.175952,6.192722244796065,Sub-Saharan Africa
COG,2014,3601.236581,8.189032560185618,Sub-Saharan Africa
CRI,2014,10911.49787,9.297572362712144,Latin America & Caribbean
CIV,2014,1991.365394,7.596575810078775,Sub-Saharan Africa
HRV,2014,14186.771223,9.560065205362552,Europe & Central Asia
CUB,2014,7146.704591,8.874406633079042,Latin America & Caribbean
CUW,2014,19623.029993,9.884459155089653,Latin America & Caribbean
CYP,2014,26993.095703,10.203336397582182,Europe & Central Asia
IND,2017,1950.104683,7.575638333706624,South Asia
IDN,2017,3798.883262,8.2424624241027,East Asia & Pacific
IRN,2017,6000.933464,8.699670313442628,Middle East & North Africa
IRQ,2017,4759.284644,8.467852651057614,Middle East & North Africa
IRL,2017,72161.404753,11.186660621744915,Europe & Central Asia
IMN,2017,83481.303849,11.332377979768257,Europe & Central Asia
ISR,2017,41013.257532,10.62165064785769,Middle East & North Africa
ITA,2017,32844.115661,10.399527880348481,Europe & Central Asia
JAM,2017,5605.435412,8.631492015272338,Latin America & Caribbean
JPN,2017,39679.863526,10.588599122027976,East Asia & Pacific
JOR,2017,4449.346181,8.400512438747683,Middle East & North Africa
ALB,2016,4457.634122,8.402373438348006,Europe & Central Asia
DZA,2016,4424.98529,8.395022233142718,Middle East & North Africa
ASM,2016,12843.33429,9.460580223439504,East Asia & Pacific
AND,2016,40129.819203,10.599874957967982,Europe & Central Asia
AGO,2016,2082.373436,7.641263597164109,Sub-Saharan Africa
ATG,2016,16556.85518,9.714555505315719,Latin America & Caribbean
ARG,2016,12699.962314,9.449354305040705,Latin America & Caribbean
ARM,2016,3524.424769,8.167472515830777,Europe & Central Asia
ABW,2016,27441.550214,10.219813574923357,Latin America & Caribbean
AUS,2016,50084.444061,10.821465741074107,East Asia & Pacific
AUT,2016,45061.499392,10.715783488887569,Europe & Central Asia
AZE,2016,3880.685228,8.263767022179104,Europe & Central Asia
BHS,2016,30616.536316,10.329295544459294,Latin America & Caribbean
IMN,2016,82025.945451,11.31479088413898,Europe & Central Asia
ISR,2016,37571.25612,10.533994572132077,Middle East & North Africa
ITA,2016,31391.56929,10.354294641896347,Europe & Central Asia
JAM,2016,5302.295534,8.575895125393625,Latin America & Caribbean
JPN,2016,40214.968863,10.601994565074536,East Asia & Pacific
JOR,2016,4366.069996,8.381618569047342,Middle East & North Africa
KAZ,2016,7475.566887,8.919395233109105,Europe & Central Asia
KEN,2016,1554.126103,7.348668674996971,Sub-Saharan Africa
KIR,2016,1742.667993,7.463172547169822,East Asia & Pacific
KOR,2016,30832.062807,10.336310427723946,East Asia & Pacific
TUN,2011,4420.647722,8.394041507774217,Middle East & North Africa
TUR,2011,11373.635576,9.339053287262013,Europe & Central Asia
TKM,2011,5143.619293,8.545512253264123,Europe & Central Asia
TCA,2011,27327.400635,10.21564516408051,Latin America & Caribbean
TUV,2011,3636.0814,8.198661842285503,East Asia & Pacific
UGA,2011,835.620061,6.728174037292741,Sub-Saharan Africa
UKR,2011,3656.697998,8.204315832841578,Europe & Central Asia
ARE,2011,51921.889075,10.857495735057372,Middle East & North Africa
GBR,2011,42295.927384,10.652446081061155,Europe & Central Asia
USA,2011,50024.881232,10.820275785276202,North America
URY,2011,15132.267573,9.624584668189765,Latin America & Caribbean
UZB,2011,2338.554628,7.757288337166774,Europe & Central Asia
KHM,2015,1547.320104,7.34427974836669,East Asia & Pacific
CMR,2015,1415.000097,7.254884878628572,Sub-Saharan Africa
CAN,2015,43594.237908,10.682680262530084,North America
CYM,2015,76379.209511,11.243465811302018,Latin America & Caribbean
CAF,2015,366.322854,5.903515059320893,Sub-Saharan Africa
TCD,2015,993.990731,6.9017278816633985,Sub-Saharan Africa
CHL,2015,13433.920299,9.505538153026718,Latin America & Caribbean
CHN,2015,8175.332851,9.008876710655246,East Asia & Pacific
COL,2015,6248.514905,8.740099099295483,Latin America & Caribbean
COM,2015,1329.370482,7.192460787359163,Sub-Saharan Africa
COD,2015,495.826633,6.206226335383059,Sub-Saharan Africa
BEL,2009,44923.340014,10.712712760807706,Europe & Central Asia
BLZ,2009,5399.671,8.59409330477038,Latin America & Caribbean
BEN,2009,1024.102779,6.931572170679898,Sub-Saharan Africa
BMU,2009,104711.71242,11.558966257077685,North America
BTN,2009,1918.395992,7.559244695030033,South Asia
BOL,2009,1731.181721,7.4565595300243315,Latin America & Caribbean
BIH,2009,4539.918638,8.420664369729433,Europe & Central Asia
BWA,2009,5082.933883,8.533643909886404,Sub-Saharan Africa
BRA,2009,8678.659224,9.068622328441991,Latin America & Caribbean
BRN,2009,30946.467377,10.340014131921416,East Asia & Pacific
BGR,2009,6988.630484,8.852039890996274,Europe & Central Asia
MAC,2016,68911.675592,11.140580899713738,East Asia & Pacific
MDG,2016,453.970715,6.118032691555563,Sub-Saharan Africa
MWI,2016,450.506106,6.110371630785619,Sub-Saharan Africa
MYS,2016,9476.534098,9.15657392692376,East Asia & Pacific
MDV,2016,9947.807447,9.205107448785022,South Asia
MLI,2016,872.468587,6.771326649990048,Sub-Saharan Africa
MLT,2016,26459.064429,10.183354079107332,Middle East & North Africa
MHL,2016,4229.809889,8.349912327531516,East Asia & Pacific
MRT,2016,1568.005512,7.357559716210297,Sub-Saharan Africa
MUS,2016,10095.122557,9.219807671039762,Sub-Saharan Africa
MEX,2016,9097.923977,9.115801532082727,Latin America & Caribbean
KIR,2013,1772.087183,7.479913330293329,East Asia & Pacific
KOR,2013,28449.35911,10.255880912411463,East Asia & Pacific
KWT,2013,49651.043928,10.812774694992463,Middle East & North Africa
KGZ,2013,1269.663035,7.146506817475609,Europe & Central Asia
LAO,2013,1812.517744,7.502472176474013,East Asia & Pacific
LVA,2013,14484.471528,9.580832425450904,Europe & Central Asia
LBN,2013,8162.379294,9.007290985603982,Middle East & North Africa
LSO,2013,1151.037358,7.048418865189084,Sub-Saharan Africa
LBR,2013,710.744571,6.566313112091806,Sub-Saharan Africa
LBY,2013,11951.713413,9.388629928922468,Middle East & North Africa
BOL,2010,1929.783731,7.565163219143451,Latin America & Caribbean
BIH,2010,4506.478285,8.413271259389493,Europe & Central Asia
BWA,2010,6215.732161,8.734838802476927,Sub-Saharan Africa
BRA,2010,11403.282128,9.34165649891053,Latin America & Caribbean
BRN,2010,34937.555536,10.461317619477587,East Asia & Pacific
BGR,2010,6854.298784,8.832631294131051,Europe & Central Asia
BFA,2010,624.957252,6.4376832505972335,Sub-Saharan Africa
BDI,2010,216.727705,5.378641749931861,Sub-Saharan Africa
CPV,2010,3579.460061,8.182967247070403,Sub-Saharan Africa
KHM,2010,952.274616,6.858853455379022,East Asia & Pacific
BIH,2016,4928.56659,8.502803472224526,Europe & Central Asia
BWA,2016,6749.059943,8.817158506464224,Sub-Saharan Africa
BRA,2016,8836.286527,9.086621991243772,Latin America & Caribbean
BRN,2016,26663.297295,10.191043265567394,East Asia & Pacific
BGR,2016,7822.898864,8.964810463568789,Europe & Central Asia
BFA,2016,663.742365,6.497894069665132,Sub-Saharan Africa
BDI,2016,232.937812,5.450771516653659,Sub-Saharan Africa
CPV,2016,3608.966052,8.191176598114756,Sub-Saharan Africa
KHM,2016,1675.195557,7.423685187892125,East Asia & Pacific
CMR,2016,1441.720173,7.273592244228808,Sub-Saharan Africa
PAK,2013,1225.434012,7.111050355741198,South Asia
PLW,2013,12820.593162,9.458807997891046,East Asia & Pacific
PAN,2013,12273.322504,9.41518328377202,Latin America & Caribbean
PNG,2013,2560.77459,7.8480650659260105,East Asia & Pacific
PRY,2013,6435.683427,8.769613319052915,Latin America & Caribbean
PER,2013,6746.800257,8.816823635475991,Latin America & Caribbean
PHL,2013,2781.279577,7.930666380284971,East Asia & Pacific
POL,2013,13621.902379,9.51943424535362,Europe & Central Asia
PRT,2013,21676.485964,9.983983355884776,Europe & Central Asia
QAT,2013,103697.008372,11.549228544929736,Middle East & North Africa
SDN,2013,1138.627808,7.03757913919433,Sub-Saharan Africa
SUR,2013,9043.192815,9.1097675785302,Latin America & Caribbean
SWE,2013,60843.98888,11.016068307669142,Europe & Central Asia
CHE,2013,88851.23745,11.394718760891552,Europe & Central Asia
SYR,2013,985.892669,6.8935474937079295,Middle East & North Africa
TJK,2013,1028.197043,6.935562103717638,Europe & Central Asia
TZA,2013,963.057129,6.870112734026066,Sub-Saharan Africa
THA,2013,6018.082447,8.702523957162613,East Asia & Pacific
TLS,2013,1204.568415,7.093876619943764,East Asia & Pacific
TGO,2013,885.698523,6.7863766252066045,Sub-Saharan Africa
TON,2013,4219.246701,8.34741188422377,East Asia & Pacific
ARM,2014,3852.118006,8.256378407443583,Europe & Central Asia
ABW,2014,26129.839062,10.170833199368252,Latin America & Caribbean
AUS,2014,62817.206175,11.047984298607961,East Asia & Pacific
AUT,2014,51314.972262,10.845737845535968,Europe & Central Asia
AZE,2014,7890.840281,8.973457907662281,Europe & Central Asia
BHS,2014,29137.217563,10.2797715900495,Latin America & Caribbean
BHR,2014,26451.796565,10.18307935804216,Middle East & North Africa
BGD,2014,1094.461997,6.9980181945693305,South Asia
BRB,2014,20423.717792,9.924452141356214,Latin America & Caribbean
BLR,2014,8341.318093,9.028976527589261,Europe & Central Asia
BEL,2014,47995.778696,10.778868342189408,Europe & Central Asia
SUR,2016,5644.206106,8.63838483002388,Latin America & Caribbean
SWE,2016,51703.508833,10.853280927303768,Europe & Central Asia
CHE,2016,83432.41116,11.331792135874053,Europe & Central Asia
SYR,2016,656.349018,6.48669268709533,Middle East & North Africa
TJK,2016,788.710482,6.670399310540051,Europe & Central Asia
TZA,2016,953.010742,6.859626175364023,Sub-Saharan Africa
THA,2016,5833.577156,8.671385668541404,East Asia & Pacific
TLS,2016,1335.543901,7.197093904342192,East Asia & Pacific
TGO,2016,843.114204,6.737102422135784,Sub-Saharan Africa
TON,2016,3987.986188,8.29104166768556,East Asia & Pacific
ARE,2017,43733.624202,10.685872517762265,Middle East & North Africa
GBR,2017,40918.052087,10.619326615975517,Europe & Central Asia
USA,2017,60047.719073,11.00289484298989,North America
URY,2017,19184.662611,9.861866416443538,Latin America & Caribbean
UZB,2017,2271.473011,7.72818380355282,Europe & Central Asia
VUT,2017,3585.317981,8.184602446729329,East Asia & Pacific
VEN,2017,3791.63262,8.240551975770067,Latin America & Caribbean
VNM,2017,2956.109921,7.991629467100672,East Asia & Pacific
VIR,2017,35365.069304,10.473479869145818,Latin America & Caribbean
PSE,2017,3620.360487,8.194328881906053,Middle East & North Africa
YEM,2017,811.16597,6.698472681759746,Middle East & North Africa
ZMB,2017,1483.465773,7.302136367675032,Sub-Saharan Africa
TTO,2016,17449.15388,9.767046438202831,Latin America & Caribbean
TUN,2016,3847.803544,8.255257756428241,Middle East & North Africa
TUR,2016,10984.364317,9.304228114869357,Europe & Central Asia
TKM,2016,5238.008272,8.563696604295124,Europe & Central Asia
TCA,2016,31373.561268,10.353720819382666,Latin America & Caribbean
TUV,2016,3808.69755,8.24504255928288,East Asia & Pacific
