country_code,country,year,health_expenditure_gdp
AFG,Afghanistan,2007,2.37641843648056
AFG,Afghanistan,2008,2.31331858424625
AFG,Afghanistan,2009,2.22269035976789
AFG,Afghanistan,2010,2.56263397230629
AFG,Afghanistan,2011,3.73088912285056
AFG,Afghanistan,2012,2.18668832425038
AFG,Afghanistan,2013,1.81960688289477
AFG,Afghanistan,2014,2.09934704917945
AFG,Afghanistan,2015,1.50644573786368
AFG,Afghanistan,2016,1.87985759076096
AFG,Afghanistan,2017,2.0053039823787
ALB,Albania,2007,2.4964547619474
ALB,Albania,2008,2.47189450228981
ALB,Albania,2010,2.63446478144812
ALB,Albania,2011,2.70575952984581
ALB,Albania,2012,2.80720824639404
ALB,Albania,2013,2.79893457440948
ALB,Albania,2014,2.74492459757695
ALB,Albania,2015,2.74041494798765
ALB,Albania,2016,2.839594745224
ALB,Albania,2017,2.92470139596318
ARM,Armenia,2013,1.42954455373563
ARM,Armenia,2017,1.52294501992841
AUS,Australia,2007,5.91471206689928
AUS,Australia,2008,5.96409706340693
AUS,Australia,2009,6.42348798061908
AUS,Australia,2010,6.41848062706421
AUS,Australia,2011,6.45689622869679
AUS,Australia,2012,6.85301550237693
AUS,Australia,2013,6.69969933977156
AUS,Australia,2014,6.71301403311329
AUS,Australia,2015,6.81043048580713
AUS,Australia,2016,6.96535543865743
AUS,Australia,2017,7.1408116465801
AUT,Austria,2007,7.36070399819704
AUT,Austria,2008,7.51263182870209
AUT,Austria,2009,7.84056330263317
AUT,Austria,2010,7.86599440480222
AUT,Austria,2011,7.65148715726315
AUT,Austria,2012,7.68489307023845
AUT,Austria,2013,7.77833177220106
AUT,Austria,2014,7.91880499276444
AUT,Austria,2015,8.20141673974415
AUT,Austria,2016,8.1720123710879
AUT,Austria,2017,8.18686177076243
AZE,Azerbaijan,2008,0.892688079885991
AZE,Azerbaijan,2009,1.16202968976026
AZE,Azerbaijan,2010,1.03473448722477
AZE,Azerbaijan,2011,0.973272915786644
AZE,Azerbaijan,2012,1.13784782541187
AZE,Azerbaijan,2013,1.08710597779382
AZE,Azerbaijan,2014,1.16023119898465
AZE,Azerbaijan,2015,1.33891136447223
AZE,Azerbaijan,2016,1.20648338772565
AZE,Azerbaijan,2017,1.04059268273958
BEL,Belgium,2007,6.76208242268326
BEL,Belgium,2008,7.2924188751983
BEL,Belgium,2009,7.83527143529222
BEL,Belgium,2010,7.75576912485543
BEL,Belgium,2011,7.73650949016938
BEL,Belgium,2012,7.93611704538098
BEL,Belgium,2013,8.01494094889025
BEL,Belgium,2014,8.03200464511518
BEL,Belgium,2015,7.83279177925712
BEL,Belgium,2016,7.62379529627864
BEL,Belgium,2017,7.59188855184811
BGR,Bulgaria,2007,4.0437132117673
BGR,Bulgaria,2008,4.4156874494669
BGR,Bulgaria,2009,3.95697462465393
BGR,Bulgaria,2010,4.40833868902647
BGR,Bulgaria,2011,4.13217087288914
BGR,Bulgaria,2012,4.35260395493726
BGR,Bulgaria,2013,4.51566131174869
BGR,Bulgaria,2014,5.4515960081993
BGR,Bulgaria,2015,5.30585738619697
BGR,Bulgaria,2016,4.95226196349199
BGR,Bulgaria,2017,4.85185142731608
BLR,Belarus,2007,4.88240629776412
BLR,Belarus,2008,4.2612987132734
BLR,Belarus,2009,4.33290778534646
BLR,Belarus,2010,4.39196376440318
BLR,Belarus,2011,3.8666536477404
BLR,Belarus,2012,4.01686069836804
BLR,Belarus,2013,4.13540712268065
BLR,Belarus,2014,4.2924392276078
BLR,Belarus,2015,4.30687309169044
BLR,Belarus,2016,4.92117533623314
BLR,Belarus,2017,4.96213685560605
BOL,Bolivia,2007,3.2624957968225
CAN,Canada,2008,7.57120674744922
CAN,Canada,2009,8.47980123894729
CAN,Canada,2010,8.34291689074985
CAN,Canada,2011,8.21949389621451
CAN,Canada,2012,8.16215621598281
CAN,Canada,2013,8.1110917772508
CAN,Canada,2014,7.98702490052123
CAN,Canada,2015,8.29087624300344
CAN,Canada,2016,8.39546095229162
CAN,Canada,2017,8.21931374761111
CHE,Switzerland,2007,1.63947063757271
CHE,Switzerland,2008,1.73215887624101
CHE,Switzerland,2009,1.87051953419663
CHE,Switzerland,2010,1.82005641105027
CHE,Switzerland,2011,1.89172990660606
CHE,Switzerland,2012,2.02729697602124
CHE,Switzerland,2013,2.08813416659934
CHE,Switzerland,2014,2.08157965501424
CHE,Switzerland,2015,2.11358098319908
CHE,Switzerland,2016,2.1490048472779
CHE,Switzerland,2017,2.1025789394125
CHN,China,2007,0.765596874356706
CHN,China,2008,0.973632774206859
CHN,China,2009,1.2241230763407
CHN,China,2010,1.24942155249262
CHN,China,2011,0.90175915773448
CHN,China,2012,0.876369253427879
CHN,China,2013,0.881586341755873
CHN,China,2014,0.906263256731316
CHN,China,2015,2.7814326333447
CHN,China,2016,3.06549798736544
CHN,China,2017,3.1692594523296
CYP,Cyprus,2007,2.61485309653656
CYP,Cyprus,2008,2.69021967847824
CYP,Cyprus,2009,2.95627961768092
CYP,Cyprus,2010,2.95719644417039
CYP,Cyprus,2011,3.05618362280379
CYP,Cyprus,2012,2.97764076469713
CYP,Cyprus,2013,3.08309728773912
CYP,Cyprus,2014,2.66547692589288
CYP,Cyprus,2015,2.53901025412394
CYP,Cyprus,2016,2.49714679415369
CYP,Cyprus,2017,2.49257838846413
CZE,Czechia,2007,6.75294408666221
CZE,Czechia,2008,6.91667054689412
CZE,Czechia,2009,7.78511242540562
CZE,Czechia,2010,7.66212937818253
CZE,Czechia,2011,7.58400675887682
CZE,Czechia,2012,7.6413187107765
CZE,Czechia,2013,7.52845219165889
CZE,Czechia,2014,7.4954242710869
CZE,Czechia,2015,7.4898969498559
