country_code,year,life_expectancy
AGO,2010,47.04
AGO,2011,47.55
AGO,2013,51.06
AGO,2014,51.46
ALB,2007,72
ALB,2008,71
ALB,2009,72
ALB,2010,76.63
ALB,2011,76.75
ALB,2012,76.9
ALB,2013,77.04
ALB,2014,77.35
ALB,2015,77.54
ALB,2016,77.83
ALB,2017,78.01
ARE,2007,77
ARE,2008,78
ARE,2009,78
ARE,2010,77.75
ARE,2011,77.88
ARE,2012,76.57
ARE,2013,76.74
ARE,2014,76.96
ARE,2015,77.13
ARE,2016,77.37
ARE,2017,77.54
ARG,2007,75
ARG,2008,75
ARG,2009,75
ARG,2010,75.33
ARG,2011,75.52
ARG,2012,75.63
ARG,2013,75.8
ARG,2014,76.01
ARG,2015,76.19
ARG,2016,76.16
ARG,2017,76.33
ARM,2007,68
ARM,2008,69
ARM,2009,69
ARM,2010,73.54
ARM,2011,73.73
ARM,2012,73.78
ARM,2013,73.92
ARM,2014,74.44
ARM,2015,74.54
ARM,2016,74.68
ARM,2017,74.8
AUS,2007,81
AUS,2008,82
AUS,2009,82
AUS,2010,81.4
AUS,2011,81.54
AUS,2012,81.7
AUS,2013,81.85
AUS,2014,82.1
AUS,2015,82.2
AUS,2016,82.25
AUS,2017,82.45
AUT,2007,79
AUT,2008,80
AUT,2009,80
AUT,2010,80.45
AUT,2011,80.08
AUT,2012,80.38
AUT,2013,81.03
AUT,2014,80.94
AUT,2015,80.89
AUT,2016,81.34
AUT,2017,81.84
AZE,2007,65
AZE,2008,64
AZE,2009,68
AZE,2010,70.18
AZE,2011,70.44
AZE,2012,70.51
AZE,2013,70.65
AZE,2014,70.62
AZE,2015,70.69
AZE,2016,70.76
AZE,2017,70.85
BDI,2007,45
BDI,2008,49
BDI,2009,49
BDI,2010,50.43
BDI,2011,50.87
BDI,2012,49.88
BDI,2013,50.34
BDI,2014,53.63
BDI,2015,54.1
BDI,2016,56.69
BDI,2017,57.11
BEL,2007,78
BEL,2008,79
BEL,2009,80
BEL,2010,80.11
BEL,2011,80.63
BEL,2012,79.94
BEL,2013,80.49
BEL,2014,80.39
BEL,2015,80.39
BEL,2016,80.59
BEL,2017,81.29
BEN,2007,53
BEN,2008,55
BEN,2009,57
BEN,2010,61.38
BEN,2011,61.81
BEN,2012,55.59
BEN,2013,56.01
BEN,2015,59.29
BEN,2016,59.51
BEN,2017,59.72
BFA,2007,48
BFA,2008,47
BFA,2009,49
BFA,2010,52.99
BFA,2011,53.31
BFA,2012,54.92
BFA,2013,55.36
BFA,2014,55.86
BGD,2007,62
BGD,2008,63
BGD,2009,64
BGD,2010,66.14
BGD,2011,66.56
BGD,2012,68.63
BGD,2013,68.94
BGD,2014,70.29
BGD,2015,70.69
BGD,2016,71.63
BGD,2017,72
BGR,2007,72
BGR,2008,73
BGR,2009,73
BGR,2010,73.32
BGR,2011,73.41
BGR,2012,73.51
BGR,2013,74.16
BGR,2014,74.31
BGR,2015,74.47
BGR,2016,75.41
BGR,2017,74.47
BHR,2007,74
BHR,2008,75
BHR,2009,75
BHR,2010,75.91
BHR,2011,76.08
BHR,2012,75.02
BHR,2013,75.16
BHR,2014,76.54
BHR,2015,76.67
BHR,2016,76.68
BHR,2017,76.82
BIH,2007,73
BIH,2008,75
BIH,2009,75
BIH,2010,75.11
BIH,2011,75.25
BIH,2012,75.4
BIH,2013,75.55
BIH,2015,76.28
BIH,2016,76.43
BIH,2017,76.59
BLZ,2011,76.59
BOL,2007,65
BOL,2008,66
BOL,2009,66
BOL,2010,65.68
BOL,2011,66.01
BOL,2012,66.27
BOL,2013,66.58
BOL,2014,66.93
BOL,2015,67.22
BOL,2016,68.34
BRA,2007,70
BRA,2008,72
BRA,2009,73
BRA,2010,72.4
BRA,2011,72.64
BRA,2012,73.1
BRA,2013,73.44
BRA,2014,73.62
BRA,2015,73.89
BRA,2016,74.4
BRA,2017,74.68
BRB,2007,75
BRB,2008,75
BRB,2009,76
BRB,2010,77.01
BRB,2011,77.24
BRB,2012,76.57
BRB,2013,76.74
BRB,2014,75.13
BRB,2016,75.5
BRN,2008,77
BRN,2009,76
BRN,2010,77.36
BRN,2011,77.51
BRN,2012,77.93
BRN,2013,78.07
BRN,2016,78.81
BRN,2017,79.04
BTN,2013,67.28
BTN,2014,67.89
BTN,2015,68.3
BTN,2016,69.47
BTN,2017,69.83
BWA,2007,40
BWA,2008,52
BWA,2009,56
BWA,2010,54.24
BWA,2011,54.95
BWA,2012,53.11
BWA,2013,53.02
BWA,2014,46.99
BWA,2015,47.41
BWA,2016,64.43
BWA,2017,64.49
CAN,2007,80
CAN,2008,81
CAN,2009,81
CAN,2010,80.96
CAN,2011,81.22
CAN,2012,80.8
CAN,2013,80.93
CAN,2014,81.24
CAN,2015,81.4
CAN,2016,81.96
CAN,2017,82.14
CHE,2007,81
CHE,2008,82
CHE,2009,82
CHE,2010,82.16
CHE,2011,82.04
CHE,2012,82.25
CHE,2013,82.7
CHE,2014,82.7
CHE,2015,82.75
CHE,2016,82.85
CHE,2017,83.2
CHL,2007,77
CHL,2008,78
CHL,2009,78
CHL,2010,78.61
CHL,2011,78.73
CHL,2012,78.89
CHL,2013,79.02
CHL,2014,79.57
CHL,2015,79.84
CHL,2016,81.5
CHL,2017,81.79
CHN,2007,72
CHN,2008,73
CHN,2009,74
CHN,2010,73.12
CHN,2011,73.31
CHN,2012,73.27
CHN,2013,73.49
CHN,2014,75.2
CHN,2015,75.35
CHN,2016,75.78
CHN,2017,75.99
CIV,2008,53
CIV,2009,54
CIV,2010,57.44
CIV,2011,57.95
CIV,2012,54.74
CIV,2013,55.42
CIV,2014,50.4
CIV,2015,50.76
CIV,2016,51.56
CMR,2007,50
CMR,2008,51
CMR,2009,52
CMR,2010,51.06
CMR,2011,51.36
CMR,2012,51.06
CMR,2013,51.58
CMR,2014,54.59
CMR,2015,55.04
CMR,2016,55.49
CMR,2017,55.93
COD,2016,58.66
COD,2017,59.02
COL,2007,73
COL,2008,74
COL,2009,75
COL,2010,72.98
COL,2011,73.21
COL,2012,73.43
COL,2013,73.64
COL,2014,73.78
COL,2015,73.98
COL,2016,73.99
COL,2017,74.18
CPV,2010,71.04
CPV,2011,71.31
CPV,2012,73.77
CPV,2013,73.92
CPV,2014,74.54
CPV,2015,74.87
CPV,2016,73.15
CPV,2017,73.36
CRI,2007,77
CRI,2008,78
CRI,2009,79
CRI,2010,78.92
CRI,2011,79.04
CRI,2012,79.19
CRI,2013,79.32
CRI,2014,79.71
CRI,2015,79.92
CRI,2016,79.4
CRI,2017,79.59
CYP,2007,79
CYP,2008,80
CYP,2009,80
CYP,2010,79.66
CYP,2011,79.77
CYP,2012,79.38
CYP,2013,79.56
CYP,2014,79.64
CYP,2015,79.8
CYP,2016,80.13
CYP,2017,80.31
CZE,2007,76
CZE,2008,77
CZE,2009,77
CZE,2010,77.21
CZE,2011,77.08
CZE,2012,77.42
CZE,2013,77.87
CZE,2014,78.08
CZE,2015,78.28
CZE,2016,78.28
CZE,2017,79.47
DEU,2007,79
DEU,2008,80
DEU,2009,80
DEU,2010,80.09
DEU,2011,79.94
DEU,2012,79.99
DEU,2013,80.74
DEU,2014,80.89
DEU,2015,81.04
DEU,2016,80.84
DEU,2017,81.09
DNK,2007,78
DNK,2008,79
DNK,2009,78
DNK,2010,78.7
DNK,2011,78.6
DNK,2012,79.1
DNK,2013,79.8
DNK,2014,80.05
DNK,2015,80.3
DNK,2016,80.55
DNK,2017,81.1
DOM,2007,67
DOM,2008,70
DOM,2009,72
DOM,2010,72.57
DOM,2011,72.71
DOM,2012,73.2
DOM,2013,73.44
DOM,2014,73.23
DOM,2015,73.45
DOM,2016,73.5
DOM,2017,73.68
DZA,2007,71
DZA,2008,71
DZA,2009,71
DZA,2010,72.39
DZA,2011,72.62
DZA,2012,72.85
DZA,2013,73.08
DZA,2014,70.88
DZA,2015,71.01
DZA,2016,74.81
DZA,2017,75.04
ECU,2007,72
ECU,2008,73
ECU,2009,73
ECU,2010,75.13
ECU,2011,75.28
ECU,2012,75.46
ECU,2013,75.63
ECU,2015,76.47
ECU,2016,75.87
ECU,2017,76.1
EGY,2007,68
EGY,2008,68
EGY,2009,68
EGY,2010,70.14
EGY,2011,70.34
EGY,2012,72.98
EGY,2013,73.2
EGY,2014,70.91
EGY,2015,71.13
EGY,2016,71.12
EGY,2017,71.32
ESP,2007,80
ESP,2008,81
ESP,2009,81
ESP,2010,81.09
ESP,2011,81.53
ESP,2012,81.63
ESP,2013,82.33
ESP,2014,82.38
ESP,2015,82.43
ESP,2016,83.08
ESP,2017,83.38
EST,2007,72
EST,2008,73
EST,2009,73
EST,2010,73.97
EST,2011,74.82
EST,2012,75.43
EST,2013,76.13
EST,2014,76.43
EST,2015,76.42
EST,2016,77.24
EST,2017,77.13
ETH,2007,50
ETH,2008,56
ETH,2009,57
ETH,2010,55.2
ETH,2011,55.66
ETH,2012,58.72
ETH,2013,59.24
ETH,2014,62.97
ETH,2015,63.62
ETH,2016,64.04
ETH,2017,64.58
FIN,2007,79
FIN,2008,79
FIN,2009,79
FIN,2010,79.79
FIN,2011,79.72
FIN,2012,79.87
FIN,2013,80.47
FIN,2014,80.63
FIN,2015,80.83
FIN,2016,81.13
FIN,2017,81.39
FRA,2007,80
FRA,2008,81
FRA,2009,81
FRA,2010,81.52
FRA,2011,81.07
FRA,2012,81.37
FRA,2013,81.67
FRA,2014,82.57
FRA,2015,81.97
FRA,2016,82.37
FRA,2017,82.67
GAB,2012,62.29
GAB,2013,62.69
GAB,2014,63.07
GAB,2015,63.44
GAB,2016,64.38
GBR,2007,79
GBR,2008,79
GBR,2009,80
GBR,2010,79.9
GBR,2011,80.05
GBR,2012,80.4
GBR,2013,80.75
GBR,2014,81.5
GBR,2015,80.96
GBR,2016,81.06
GBR,2017,81.6
GEO,2007,74
GEO,2008,70
GEO,2009,72
GEO,2010,71.55
GEO,2011,71.68
GEO,2012,73.33
GEO,2013,73.33
GEO,2014,73.94
GEO,2015,74.08
GEO,2016,74.67
GEO,2017,74.82
GHA,2008,57
GHA,2009,57
GHA,2010,56.62
GHA,2011,56.82
GHA,2012,63.84
GHA,2013,64.22
GHA,2014,60.95
GHA,2015,61.1
GHA,2016,61.31
GHA,2017,61.49
GIN,2012,53.64
GIN,2013,54.09
GIN,2014,55.84
GIN,2015,56.09
GIN,2017,59.19
GMB,2007,57
GMB,2008,59
GMB,2009,59
GMB,2010,55.93
GMB,2011,56.24
GMB,2012,58.16
GMB,2013,58.48
GMB,2014,58.61
GMB,2015,58.83
GMB,2016,60.23
GMB,2017,60.47
GRC,2007,79
GRC,2008,80
GRC,2009,80
GRC,2010,79.96
GRC,2011,80.19
GRC,2012,80.39
GRC,2013,80.74
GRC,2014,80.63
GRC,2015,80.63
GRC,2016,81.29
GRC,2017,81.59
GTM,2007,68
GTM,2008,68
GTM,2009,69
GTM,2010,70.34
GTM,2011,70.56
GTM,2012,70.83
GTM,2013,71.07
GTM,2014,71.66
GTM,2015,71.99
GTM,2016,71.72
GTM,2017,71.96
GUY,2007,63
GUY,2008,64
GUY,2009,60
GUY,2010,67.11
GUY,2011,67.59
GUY,2012,69.55
GUY,2013,69.86
GUY,2014,66.05
GUY,2015,66.21
HKG,2007,82
HKG,2008,81.9
HKG,2009,82.28
HKG,2010,82.34
HKG,2011,82.72
HKG,2012,82.88
HKG,2013,83.42
HKG,2014,83.48
HKG,2015,83.83
HKG,2016,83.98
HKG,2017,84.28
HND,2007,67
HND,2008,70
HND,2009,71
HND,2010,72.2
HND,2011,72.41
HND,2012,72.83
HND,2013,73.11
HND,2014,73.49
HND,2015,73.8
HND,2016,73.14
HND,2017,73.33
HRV,2007,75
HRV,2008,76
HRV,2009,76
HRV,2010,75.91
HRV,2011,76.14
HRV,2012,76.48
HRV,2013,76.88
HRV,2014,76.92
HRV,2015,77.13
HRV,2016,77.33
HRV,2017,77.28
HTI,2011,61.44
HTI,2012,61.76
HTI,2013,62.06
HTI,2014,62.7
HTI,2015,63.06
HTI,2017,63.07
HUN,2007,73
HUN,2008,73
HUN,2009,73
HUN,2010,74.01
HUN,2011,73.9
HUN,2012,74.21
HUN,2013,74.86
HUN,2014,75.06
HUN,2015,75.27
HUN,2016,75.87
HUN,2017,75.96
IDN,2007,67
IDN,2008,68
IDN,2009,68
IDN,2010,70.79
IDN,2011,71.18
IDN,2012,68.89
IDN,2013,69.32
IDN,2014,70.61
IDN,2015,70.82
IDN,2016,68.89
IDN,2017,69.07
IND,2007,62
IND,2008,63
IND,2009,64
IND,2010,63.72
IND,2011,64.05
IND,2012,65.13
IND,2013,65.48
IND,2014,66.21
IND,2015,66.46
IND,2016,68.01
IND,2017,68.35
IRL,2007,78
IRL,2008,80
IRL,2009,80
IRL,2010,79.86
IRL,2011,79.5
IRL,2012,80.29
IRL,2013,80.5
IRL,2014,80.9
IRL,2015,81.04
IRL,2016,81.15
IRL,2017,81.5
IRN,2010,71.44
IRN,2011,71.69
IRN,2012,72.75
IRN,2013,73
IRN,2014,73.76
IRN,2015,74.07
IRN,2016,75.39
IRN,2017,75.59
ISL,2007,81
ISL,2008,81
ISL,2009,82
ISL,2010,81.58
ISL,2011,81.46
ISL,2012,81.45
ISL,2013,82.36
ISL,2014,82.92
ISL,2015,83.12
ISL,2016,82.06
ISL,2017,82.86
ISR,2007,80
ISR,2008,81
ISR,2009,81
ISR,2010,81
ISR,2011,81.55
ISR,2012,81.5
ISR,2013,81.76
ISR,2014,81.7
ISR,2015,82.06
ISR,2016,82.15
ISR,2017,82.05
ITA,2007,81
ITA,2008,81
ITA,2009,82
ITA,2010,81.95
ITA,2011,81.44
ITA,2012,81.74
ITA,2013,82.09
ITA,2014,82.94
ITA,2015,82.29
ITA,2016,82.69
ITA,2017,83.49
JAM,2007,72
JAM,2008,72
JAM,2009,72
JAM,2010,71.84
JAM,2011,72.06
JAM,2012,72.85
JAM,2013,73.08
JAM,2014,73.28
JAM,2015,73.47
JAM,2016,75.65
JAM,2017,75.8
JOR,2007,71
JOR,2008,71
JOR,2009,72
JOR,2010,72.71
JOR,2011,72.94
JOR,2012,73.29
JOR,2013,73.43
JOR,2014,73.75
JOR,2015,73.9
JOR,2016,74.05
JOR,2017,74.2
JPN,2007,82
JPN,2008,83
JPN,2009,83
JPN,2010,82.59
JPN,2011,82.93
JPN,2012,82.93
JPN,2013,82.59
JPN,2014,83.1
JPN,2015,83.33
JPN,2016,83.59
JPN,2017,83.84
KAZ,2007,61
KAZ,2008,64
KAZ,2009,64
KAZ,2010,66.44
KAZ,2011,68.43
KAZ,2012,68.3
KAZ,2013,68.89
KAZ,2014,69.61
KAZ,2015,70.45
KAZ,2016,71.62
KAZ,2017,72
KEN,2007,51
KEN,2008,53
KEN,2009,54
KEN,2010,54.24
KEN,2011,54.89
KEN,2012,56.5
KEN,2013,57.08
KEN,2014,61.08
KEN,2015,61.68
KEN,2016,61.58
KEN,2017,62.13
KGZ,2007,63
KGZ,2008,66
KGZ,2009,66
KGZ,2010,67.37
KGZ,2011,67.14
KGZ,2012,69.37
KGZ,2013,69.6
KGZ,2014,70
KGZ,2015,70.2
KGZ,2016,70.4
KGZ,2017,70.65
KHM,2007,54
KHM,2008,62
KHM,2009,61
KHM,2010,60.97
KHM,2011,61.5
KHM,2012,62.54
KHM,2013,62.98
KHM,2014,71.41
KHM,2015,71.75
KHM,2016,68.21
KHM,2017,68.66
KOR,2007,77
KOR,2008,79
KOR,2009,79
KOR,2010,79.83
KOR,2011,80.28
KOR,2012,80.76
KOR,2013,80.87
KOR,2014,81.37
KOR,2015,81.46
KOR,2016,82.16
KOR,2017,82.16
KWT,2007,77
KWT,2008,78
KWT,2009,78
KWT,2010,77.97
KWT,2011,78.1
KWT,2012,74.6
KWT,2013,74.73
KWT,2014,74.36
KWT,2015,74.46
KWT,2016,74.59
KWT,2017,74.7
LAO,2013,67.43
LAO,2014,67.81
LAO,2015,68.25
LAO,2016,66.12
LAO,2017,66.54
LBN,2010,72.05
LBN,2011,72.23
LBN,2012,72.41
LBN,2013,72.59
LBN,2014,79.85
LBN,2015,80.13
LBN,2016,79.37
LBN,2017,79.63
LBR,2012,56.15
LBR,2013,56.74
LBR,2015,60.53
LBR,2016,60.83
LBR,2017,61.16
LBY,2007,72
LBY,2008,72
LBY,2009,72
LBY,2010,74.33
LBY,2012,74.75
LBY,2013,74.95
LBY,2014,75.18
LKA,2007,71
LKA,2008,72
LKA,2009,71
LKA,2010,74.13
LKA,2011,74.26
LKA,2012,74.72
LKA,2013,74.9
LKA,2014,74.07
LKA,2015,74.24
LKA,2016,74.79
LKA,2017,74.95
LSO,2007,41
LSO,2008,42
LSO,2009,45
LSO,2010,44.99
LSO,2011,45.35
LSO,2012,47.37
LSO,2013,47.98
LSO,2014,48.84
LSO,2015,49.33
LSO,2016,49.7
LSO,2017,49.96
LTU,2007,72
LTU,2008,71
LTU,2009,71
LTU,2010,71.82
LTU,2011,72.91
LTU,2012,73.27
LTU,2013,73.56
LTU,2014,73.86
LTU,2015,74.16
LTU,2016,73.97
LTU,2017,75.12
LUX,2007,79
LUX,2008,80
LUX,2009,80
LUX,2010,80.52
LUX,2011,80.09
LUX,2012,80.09
LUX,2013,80.99
LUX,2014,81.39
LUX,2015,81.8
LUX,2016,82.21
LUX,2017,82.23
LVA,2007,71
LVA,2008,71
LVA,2009,71
LVA,2010,72.24
LVA,2011,73.08
LVA,2012,73.48
LVA,2013,73.58
LVA,2014,73.78
LVA,2015,73.98
LVA,2016,74.19
LVA,2017,74.12
MAR,2007,71
MAR,2008,72
MAR,2009,72
MAR,2010,71.29
MAR,2011,71.59
MAR,2012,71.86
MAR,2013,72.13
MAR,2014,70.64
MAR,2015,70.87
MAR,2016,74.02
MAR,2017,74.29
MDA,2010,68.44
MDA,2011,68.62
MDA,2012,68.9
MDA,2013,69.21
MDA,2014,68.69
MDA,2015,68.81
MDA,2016,71.46
MDA,2017,71.63
MDG,2007,57
MDG,2008,59
MDG,2009,59
MDG,2010,60.34
MDG,2011,60.79
MDG,2012,66.47
MDG,2013,66.7
MDG,2014,64.25
MDG,2015,64.69
MDG,2016,65.09
MDG,2017,65.48
MEX,2007,74
MEX,2008,74
MEX,2009,76
MEX,2010,75.07
MEX,2011,75.3
MEX,2012,76.68
MEX,2013,76.89
MEX,2014,77.14
MEX,2015,77.35
MEX,2016,76.72
MEX,2017,76.92
MKD,2007,72
MKD,2008,73
MKD,2009,74
MKD,2010,74.21
MKD,2011,74.35
MKD,2012,74.62
MKD,2013,74.79
MKD,2014,75.03
MKD,2015,75.19
MKD,2016,75.34
MLI,2007,46
MLI,2008,46
MLI,2009,49
MLI,2010,48.43
MLI,2011,48.81
MLI,2012,50.95
MLI,2013,51.37
MLI,2014,54.6
MLI,2015,55.01
MLI,2016,57.99
MLI,2017,58.46
MLT,2007,79
MLT,2008,79
MLT,2009,80
MLT,2010,79.64
MLT,2011,79.9
MLT,2012,80.95
MLT,2013,82
MLT,2014,80.75
MLT,2015,80.75
MLT,2016,81.75
MLT,2017,81.95
MMR,2013,65.15
MMR,2014,64.93
MMR,2015,65.1
MNE,2007,73
MNE,2008,74.1
MNE,2009,74
MNE,2010,74.1
MNE,2011,74.27
MNE,2012,74.31
MNE,2013,74.5
MNE,2014,74.65
MNE,2015,74.76
MNE,2016,76.18
MNE,2017,76.34
MNG,2007,65
MNG,2008,66
MNG,2009,64
MNG,2010,66.57
MNG,2011,66.92
MNG,2012,68.19
MNG,2013,68.49
MNG,2014,67.34
MNG,2015,67.55
MNG,2016,69.46
MNG,2017,69.82
MOZ,2007,45
MOZ,2008,50
MOZ,2009,48
MOZ,2010,47.89
MOZ,2011,48.08
MOZ,2012,49.7
MOZ,2013,50.15
MOZ,2014,49.84
MOZ,2015,50.17
MOZ,2016,55.03
MOZ,2017,55.37
MRT,2007,58
MRT,2008,58
MRT,2009,58
MRT,2010,56.73
MRT,2011,56.97
MRT,2012,58.22
MRT,2013,58.55
MRT,2014,61.35
MRT,2015,61.51
MRT,2016,63.02
MRT,2017,63.2
MUS,2007,72
MUS,2008,73
MUS,2009,73
MUS,2010,72.57
MUS,2011,72.64
MUS,2012,72.97
MUS,2013,73.27
MUS,2014,73.57
MUS,2015,74.46
MUS,2016,74.19
MUS,2017,74.35
MWI,2008,50
MWI,2009,50
MWI,2010,53.06
MWI,2011,53.81
MWI,2012,53.46
MWI,2013,54.14
MWI,2014,54.72
MWI,2015,55.23
MWI,2016,62.72
MWI,2017,63.8
MYS,2007,72
MYS,2008,72
MYS,2009,72
MYS,2010,74.38
MYS,2011,74.58
MYS,2012,74.02
MYS,2013,74.26
MYS,2014,74.84
MYS,2015,75.02
MYS,2016,74.72
MYS,2017,74.88
NAM,2007,54
NAM,2008,61
NAM,2009,59
NAM,2010,61.01
NAM,2011,61.58
NAM,2012,62.07
NAM,2013,62.33
NAM,2014,63.88
NAM,2015,64.34
NAM,2016,64.68
NAM,2017,64.92
NGA,2007,46
NGA,2008,48
NGA,2009,49
NGA,2010,47.91
NGA,2011,48.14
NGA,2012,51.41
NGA,2013,51.86
NGA,2014,52.11
NGA,2015,52.5
NGA,2016,52.75
NGA,2017,53.05
NIC,2007,69
NIC,2008,71
NIC,2009,73
NIC,2010,73.14
NIC,2011,73.5
NIC,2012,73.73
NIC,2013,74
NIC,2014,74.47
NIC,2015,74.79
NIC,2016,74.81
NIC,2017,75.1
NLD,2007,79
NLD,2008,80
NLD,2009,80
NLD,2010,80.4
NLD,2011,80.55
NLD,2012,80.7
NLD,2013,81.2
NLD,2014,81.1
NLD,2015,81.1
NLD,2016,81.3
NLD,2017,81.71
NOR,2007,80
NOR,2008,80
NOR,2009,81
NOR,2010,80.74
NOR,2011,80.8
NOR,2012,81
NOR,2013,81.3
NOR,2014,81.45
NOR,2015,81.45
NOR,2016,81.75
NOR,2017,82.1
NPL,2007,61
NPL,2008,62
NPL,2009,63
NPL,2010,66.69
NPL,2011,67.07
NPL,2012,68.39
NPL,2013,68.73
NPL,2014,67.98
NPL,2015,68.4
NPL,2016,69.6
NPL,2017,69.97
NZL,2007,80
NZL,2008,80
NZL,2009,81
NZL,2010,80.15
NZL,2011,80.3
NZL,2012,80.7
NZL,2013,80.9
NZL,2014,81.16
NZL,2015,81.41
NZL,2016,81.4
NZL,2017,81.46
OMN,2007,74
OMN,2008,74
OMN,2009,74
OMN,2010,75.91
OMN,2011,76.14
OMN,2012,73.12
OMN,2013,73.34
OMN,2014,76.59
OMN,2015,76.85
OMN,2016,77.09
OMN,2017,77.32
PAK,2007,62
PAK,2008,63
PAK,2009,63
PAK,2010,66.53
PAK,2011,66.85
PAK,2012,65.2
PAK,2013,65.45
PAK,2014,66.44
PAK,2015,66.59
PAK,2016,66.18
PAK,2017,66.38
PAN,2007,76
PAN,2008,76
PAN,2009,76
PAN,2010,75.66
PAN,2011,75.82
PAN,2012,75.97
PAN,2013,76.15
PAN,2014,77.37
PAN,2015,77.58
PAN,2016,77.6
PAN,2017,77.77
PER,2007,71
PER,2008,73
PER,2009,76
PER,2010,73.26
PER,2011,73.48
PER,2012,73.76
PER,2013,73.98
PER,2014,74.52
PER,2015,74.81
PER,2016,74.53
PER,2017,74.78
PHL,2007,68
PHL,2008,68
PHL,2009,71
PHL,2010,71.83
PHL,2011,72.08
PHL,2012,68.48
PHL,2013,68.76
PHL,2014,68.55
PHL,2015,68.71
PHL,2016,68.27
PHL,2017,68.41
POL,2007,75
POL,2008,75
POL,2009,75
POL,2010,75.53
POL,2011,75.7
POL,2012,76.25
POL,2013,76.75
POL,2014,76.8
POL,2015,76.85
POL,2016,77.25
POL,2017,78.2
PRI,2007,78
PRI,2008,77.48
PRI,2009,77.5
PRI,2010,78.56
PRI,2011,78.62
PRI,2012,78.91
PRI,2013,79.03
PRI,2014,78.54
PRT,2007,78
PRT,2008,79
PRT,2009,79
PRT,2010,79.25
PRT,2011,78.73
PRT,2012,79.03
PRT,2013,80.72
PRT,2014,80.37
PRT,2015,80.37
PRT,2016,80.72
PRT,2017,81.52
PRY,2007,72
PRY,2008,75
PRY,2009,74
PRY,2010,71.88
PRY,2011,72.08
PRY,2012,72.28
PRY,2013,72.48
PRY,2014,72.19
PRY,2015,72.27
PRY,2016,72.92
PRY,2017,73.03
QAT,2007,76
QAT,2008,77
QAT,2009,76
QAT,2010,75.94
QAT,2011,76.12
QAT,2012,78.1
QAT,2013,78.25
QAT,2014,78.45
QAT,2015,78.61
QAT,2016,78.6
QAT,2017,78.76
ROU,2007,72
ROU,2008,73
ROU,2009,73
ROU,2010,73.37
ROU,2011,73.31
ROU,2012,73.46
ROU,2013,74.51
ROU,2014,74.56
ROU,2015,74.46
ROU,2016,75.06
ROU,2017,74.96
RUS,2007,65
RUS,2008,66
RUS,2009,66
RUS,2010,67.84
RUS,2011,68.86
RUS,2012,68.8
RUS,2013,69
RUS,2014,70.46
RUS,2015,71.07
RUS,2016,70.37
RUS,2017,70.91
RWA,2010,50.13
RWA,2011,50.59
RWA,2012,55.06
RWA,2013,55.39
RWA,2014,63.49
RWA,2015,63.99
RWA,2016,63.97
RWA,2017,64.52
SAU,2007,71
SAU,2008,70
SAU,2009,71
SAU,2010,73.12
SAU,2011,73.43
SAU,2012,73.85
SAU,2013,74.06
SAU,2014,75.5
SAU,2015,75.7
SAU,2016,74.34
SAU,2017,74.49
SEN,2007,55
SEN,2008,59
SEN,2009,59
SEN,2010,55.6
SEN,2011,55.89
SEN,2012,58.95
SEN,2013,59.27
SEN,2014,63.2
SEN,2015,63.35
SEN,2016,66.37
SEN,2017,66.8
SGP,2007,80
SGP,2008,80
SGP,2009,81
SGP,2010,80.74
SGP,2011,81.29
SGP,2012,81.64
SGP,2013,81.89
SGP,2014,82.14
SGP,2015,82.35
SGP,2016,82.65
SGP,2017,82.6
SLE,2012,47.4
SLE,2013,47.78
SLE,2014,45.33
SLE,2015,45.55
SLE,2016,50.88
SLE,2017,51.31
SLV,2007,71
SLV,2008,71
SLV,2009,72
SLV,2010,71.26
