STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,IMF_SEC_LG,Sector: Local government,_Z,Not Applicable,_Z,Not Applicable,2012,0.0066303474919227,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_CG_SSF,Sector: Central government (incl. social security funds),_Z,Not Applicable,_Z,Not Applicable,2009,13496776748.4542,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,IMF_SEC_LG,Sector: Local government,_Z,Not Applicable,_Z,Not Applicable,1997,0.559885679843998,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_CG,Sector: Central government (excl. social security),_Z,Not Applicable,_Z,Not Applicable,2006,4797000000.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_EXP,Percentage of expenditure,IMF_SEC_BCG,Sector: Budgetary central government,_Z,Not Applicable,_Z,Not Applicable,2008,4.59438586243517,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_LG,Sector: Local government,_Z,Not Applicable,_Z,Not Applicable,2014,0.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_BCG,Sector: Budgetary central government,_Z,Not Applicable,_Z,Not Applicable,1997,3933978000.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_BCG,Sector: Budgetary central government,_Z,Not Applicable,_Z,Not Applicable,2005,2202688343.61,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_EBG,Sector: Extrabudgetary central government,_Z,Not Applicable,_Z,Not Applicable,1996,0.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_BCG,Sector: Budgetary central government,_Z,Not Applicable,_Z,Not Applicable,1999,249675892.4,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_BCG,Sector: Budgetary central government,_Z,Not Applicable,_Z,Not Applicable,2005,38233614788.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_LG,Sector: Local government,_Z,Not Applicable,_Z,Not Applicable,2012,88370000.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,IMF_SEC_LG,Sector: Local government,_Z,Not Applicable,_Z,Not Applicable,1996,0.535502059024753,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_EXP,Percentage of expenditure,IMF_SEC_CG_SSF,Sector: Central government (incl. social security funds),_Z,Not Applicable,_Z,Not Applicable,2012,3.25511347105745,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_EXP,Percentage of expenditure,IMF_SEC_BCG,Sector: Budgetary central government,_Z,Not Applicable,_Z,Not Applicable,2012,3.4824213708791,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_EBG,Sector: Extrabudgetary central government,_Z,Not Applicable,_Z,Not Applicable,1998,0.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_CG_SSF,Sector: Central government (incl. social security funds),_Z,Not Applicable,_Z,Not Applicable,1995,3908000000.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_EXP,Percentage of expenditure,IMF_SEC_BCG,Sector: Budgetary central government,_Z,Not Applicable,_Z,Not Applicable,2005,4.99832203877745,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_CG_SSF,Sector: Central government (incl. social security funds),_Z,Not Applicable,_Z,Not Applicable,1998,5216530000.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_LG,Sector: Local government,_Z,Not Applicable,_Z,Not Applicable,1998,2187607000.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_LG,Sector: Local government,_Z,Not Applicable,_Z,Not Applicable,2013,44130000.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
