OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
78.01,602,0,NA,A,PU,NA,NA,NA,NA,TRUE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2017,A,YR,NA
39,602,0,NA,A,PU,NA,NA,NA,NA,TRUE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2017,A,RANK,NA
77.83,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2016,A,YR,NA
38,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2016,A,RANK,NA
77.54,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2015,A,YR,NA
38,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2015,A,RANK,NA
77.35,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,NA
39,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2014,A,RANK,NA
77.04,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,NA
38,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2013,A,RANK,NA
76.9,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,NA
38,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2012,A,RANK,NA
76.75,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,NA
40,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2011,A,RANK,NA
76.63,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,NA
40,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2010,A,RANK,NA
72,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,NA
69,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ALB,_T,_T,_T,_Z,_Z,_Z,2009,A,RANK,NA
