model,term,estimate,std_error,statistic,p_value,conf_low,conf_high
Model 1,(Intercept),70.46,0.475,148.23,0,69.527,71.394
Model 1,health_expenditure_gdp,1.231,0.085,14.47,6.8e-41,1.064,1.399
Model 2,(Intercept),37.219,1.224,30.41,4.879999999999999e-123,34.815,39.622
Model 2,health_expenditure_gdp,0.092,0.071,1.3,0.193,-0.047,0.231
Model 2,log_gdp_per_capita,3.854,0.14,27.5,6.829999999999999e-108,3.578,4.129
Model 2,regionEast Asia & Pacific,1.452,0.344,4.22,2.8e-5,0.776,2.127
Model 2,regionLatin America & Caribbean,1.416,0.726,1.95,0.0516,-0.01,2.841
Model 2,regionMiddle East & North Africa,2.191,0.503,4.35,1.58e-5,1.202,3.18
Model 2,regionNorth America,-1.049,0.633,-1.66,0.0978,-2.292,0.194
Model 2,regionSub-Saharan Africa,-9.177,0.627,-14.63,1.35e-41,-10.409,-7.945
Model 2,year_c,0.224,0.036,6.23,9.01e-10,0.153,0.294
